2011,Russ Arnold,109
2002,Hermine Baron,1
2012,Grant Baze,113
1995,B. Jay Becker,2
2006,Mike Becker,3
2010,David Berkowitz,106
1995,Easley Blackwood, Sr.,4
2000,Lou Bluhm,5
1997,David Bruce,6
2006,S. Garton Churchill,7
2002,Ira Corn,8
1995,Barry Crane,9
1995,John R. Crawford,10
1964,Ely Culbertson,11
1996,Josephine Culbertson,34
1998,Billy Eisenberg,12
1998,Mary Jane Farell,13
2000,Harry Fishbein,14
2003,Henry Francis,15
2001,Richard Freeman,16
1997,Edith Kemp Freilich,17
1997,Richard L. Frey,18
2002,Sam Fry Jr.,19
1998,John Gerber,20
2006,Richard Goldberg,22
1999,Bobby Goldman,23
2009,Agnes Gordon,102
1964,Charles Goren,24
1999,Michael Gottlieb,25
2003,Fred Hamilton,26
1999,Bob Hamman,27
2004,Harry Harkavy,28
2002,Emma Jean Hawes,29
1997,Lee Hazen,30
2010,Paul Hodge,107
1997,James (Jim) Jacoby,31
1965,Oswald Jacoby,32
1996,Eddie Kantar,35
1995,Edgar Kaplan,36
1996,Norman Kay,37
2004,Amalya Kearse,38
2001,Sami Kehela,39
2005,Betty Ann Kennedy,40
2011,Eric Kokish,110
2009,Mark Lair,104
1998,Alvin Landy,41
2012,Kyle Larsen,111
2000,Sidney Lazard,42
1965,Sidney Lenz,43
2001,Peter Leventritt,44
1999,Theodore Lightner,45
2008,Jerome S. Machlin,103
2007,Zia Mahmood,93
2004,Merwyn Maier,46
2003,Ed Manfield,47
2012,Jan Martel,112
1997,Lewis L. Mathe,48
2005,Marshall Miles,49
2003,Jacqui Mitchell,33
1996,Victor Mitchell,50
1996,Albert Morehead,51
1998,Alphonse Moyse,52
2001,Eric Murray,53
2001,G. Robert Nail,54
2008,Nick Nickell,98
2009,Aileen Osofsky,105
2008,Mike Passell,97
1998,Peter Pender,55
1997,George Rapée,57
2003,Steve Robinson,58
1997,Bill Root,59
2000,George Rosenkranz,60
2002,Hugh Ross,61
1995,Al Roth,62
2004,Jeff Rubens,63
2000,Ira Rubin,64
2007,Kerri Sanborn,94
2002,Carol Sanders,65
2002,Thomas Sanders,66
1966,Howard Schenken,67
2000,Meyer Schleifer,68
2005,Percy Sheardown,69
1996,Alfred Sheinwold,70
1965,Sidney Silodor,71
1996,P. Hal Sims,72
1999,Al Sobel,74
1995,Helen Sobel Smith,73
2000,Charles Solomon,75
2002,Paul Soloway,96
2007,Alan Sontag,95
2001,Lew Stansby,76
1996,Sam Stayman,77
2010,Tom Stoddard,108
2003,Tobias Stone,78
1998,David Treadwell,79
2001,Alan Truscott,80
1998,Dorothy Hayden Truscott,81
1964,Harold Vanderbilt,82
1966,Waldemar,83
1999,Margaret Wagar,84
1999,Katherine Wei-Sender,85
2004,Peter Weichsel,86
1995,Bobby Wolff,87
2005,Kit Woolsey,88
1965,Milton C. Work,89
2001,Sally Young,90
