1973,J Merril
1974,Jeff Meckstroth
1975,Bobby Levin
1976,Warren Spector
1977,Marc Franklin
1978,Matthew K. Franklin
1979,Regina Barnes
1980,Tony Marks
1981,Doug Levene
1981,Steve Cochran
1982,Steve Weinstein
1983,Billy Hsieh
1984,James Munday
1985,Adair Gellman
1986,Martha Benson
1987,Richard Pavlicek,Jr.
1988,Holly Zullo
1989,Brad Moss
1990,Eric Sutherland
1991,Andrew Moss
1992,Frederic Pollack
1993,Eric Greco
1994,Sam Hirschman
1995,Tony Melucci
1996,Kent Mignocchi
1997,Joel Wooldridge
1998,Josh Heller
1999,Ari Greenberg
2000,Gavin Wolpert
2001,Erin Anderson
2002,John Kranyak
2003,Scottie Waldron Jr.
2004,Rob Glickman
2005,David Banh
2006,Sam Katz
2007,Andrew Dubay
2008,Jeremy Koegel
2009,Nicholas Flores
2010,Tom Walsh
2010,Adam Grossack
2011,Blake Sanders
2012,Murphy Green
2013,John Altman
