2019,Jacek Pszczola
2018,Eric Greco
2017,Dennis Bilde
2016,Eric Greco
2015,Cedric Lorenzini
2014,Bobby Levin
2013,Martin Fleisher
2012,Zia Mahmood
2011,Joel Wooldridge
2010,Brad Moss
2009,Jeff Meckstroth
2008,Eric Rodwell
2007,Roy Welland
2006,Bob Hamman
2005,Zia Mahmood
2004,Jeff Meckstroth
2003,Michael Rosenberg
2002,Larry N. Cohen
2001,Ralph Katz
2000,Zia Mahmood
1999,John Mohan
1998,Paul Soloway
1997,Bart Bramley
1996,Zia Mahmood
1995,Frank Stewart
1995,Steve Weinstein
1994,Mike Rosenberg
1993,Bob Hamman
1992,Jeff Meckstroth
1991,Zia Mahmood
1990,Bob Hamman
